UNIPROT:Q9UN73:T116:PRGE	Protocadherin alpha-6|PCDHA6	UNIPROT:Q9UN73|GENE:56142
UNIPROT:Q86X24:T116:PRGE	HORMA domain-containing protein 1|HORMAD1	UNIPROT:Q86X24|GENE:84072
UNIPROT:Q96BY7:T116:PRGE	Autophagy-related protein 2 homolog B|ATG2B	UNIPROT:Q96BY7|GENE:55102
UNIPROT:P60371:T116:PRGE	Keratin-associated protein 10-6|KRTAP10-6	UNIPROT:P60371|GENE:386674
UNIPROT:Q8WWN9:T116:PRGE	Interactor protein for cytohesin exchange factors 1|IPCEF1	UNIPROT:Q8WWN9|GENE:26034
UNIPROT:P58550:T116:PRGE	FXYD domain-containing ion transport regulator 8	UNIPROT:P58550
UNIPROT:P06746:T116:PRGE	DNA polymerase beta|POLB	UNIPROT:P06746|GENE:5423
UNIPROT:O75462:T116:PRGE	Cytokine receptor-like factor 1|CRLF1	UNIPROT:O75462|GENE:9244
UNIPROT:Q00613:T116:PRGE	HSF 1|HSF1	UNIPROT:Q00613|GENE:3297
UNIPROT:Q9H5J0:T116:PRGE	Zinc finger and BTB domain-containing protein 3|ZBTB3	UNIPROT:Q9H5J0|GENE:79842
UNIPROT:O43909:T116:PRGE	Exostosin-like 3|EXTL3	UNIPROT:O43909|GENE:2137
UNIPROT:P07357:T116:PRGE	Complement component C8 alpha chain|C8A	UNIPROT:P07357|GENE:731
UNIPROT:Q15527:T116:PRGE	Surf-2|SURF2	UNIPROT:Q15527|GENE:6835
UNIPROT:Q6ZMS7:T116:PRGE	Protein ZNF783	UNIPROT:Q6ZMS7
UNIPROT:Q14192:T116:PRGE	FHL-2|FHL2	UNIPROT:Q14192|GENE:2274
UNIPROT:Q9Y691:T116:PRGE	Calcium-activated potassium channel subunit beta-2|KCNMB2	UNIPROT:Q9Y691|GENE:10242
UNIPROT:Q9HDC5:T116:PRGE	JP-1|JPH1	UNIPROT:Q9HDC5|GENE:56704
UNIPROT:Q16186:T116:PRGE	Proteasomal ubiquitin receptor ADRM1|ADRM1	UNIPROT:Q16186|GENE:11047
UNIPROT:P27695:T116:PRGE	DNA-(apurinic or apyrimidinic site) lyase|APEX1	UNIPROT:P27695|GENE:328
UNIPROT:Q9NZQ9:T116:PRGE	Tropomodulin-4|TMOD4	UNIPROT:Q9NZQ9|GENE:29765
UNIPROT:Q68DK2:T116:PRGE	Zinc finger FYVE domain-containing protein 26|ZFYVE26	UNIPROT:Q68DK2|GENE:23503
UNIPROT:Q8NGN1:T116:PRGE	Olfactory receptor 6T1|OR6T1	UNIPROT:Q8NGN1|GENE:219874
UNIPROT:P61964:T116:PRGE	WD repeat-containing protein 5|WDR5	UNIPROT:P61964|GENE:11091
UNIPROT:P51148:T116:PRGE	Ras-related protein Rab-5C|RAB5C	UNIPROT:P51148|GENE:5878
UNIPROT:Q8N7M3:T116:PRGE	Putative uncharacterized protein FLJ40852	UNIPROT:Q8N7M3
UNIPROT:Q5T1S8:T116:PRGE	Uncharacterized protein C1orf130|C1orf130	UNIPROT:Q5T1S8|GENE:400746
UNIPROT:Q96M11:T116:PRGE	Hydrolethalus syndrome protein 1|HYLS1	UNIPROT:Q96M11|GENE:219844
UNIPROT:Q9P1Q0:T116:PRGE	Vacuolar protein sorting-associated protein 54|VPS54	UNIPROT:Q9P1Q0|GENE:51542
UNIPROT:Q86XI6:T116:PRGE	Protein phosphatase 1 regulatory subunit 3B|PPP1R3B	UNIPROT:Q86XI6|GENE:79660
UNIPROT:O96005:T116:PRGE	Cleft lip and palate transmembrane protein 1|CLPTM1	UNIPROT:O96005|GENE:1209
UNIPROT:O00567:T116:PRGE	Nucleolar protein 56|NOP56	UNIPROT:O00567|GENE:10528
UNIPROT:Q9Y2G4:T116:PRGE	Ankyrin repeat domain-containing protein 6|ANKRD6	UNIPROT:Q9Y2G4|GENE:22881
UNIPROT:Q8WUB2:T116:PRGE	Uncharacterized protein C12orf24|FAM216A	UNIPROT:Q8WUB2|GENE:29902
UNIPROT:Q15293:T116:PRGE	Reticulocalbin-1|RCN1	UNIPROT:Q15293|GENE:5954
UNIPROT:Q5HYN5:T116:PRGE	Cancer/testis antigen family 45 member A1|CT45A1	UNIPROT:Q5HYN5|GENE:541466
UNIPROT:P55287:T116:PRGE	Cadherin-11|CDH11	UNIPROT:P55287|GENE:1009
UNIPROT:Q7L4E1:T116:PRGE	Protein FAM73B|FAM73B	UNIPROT:Q7L4E1|GENE:84895
UNIPROT:Q15744:T116:PRGE	C/EBP epsilon|CEBPE	UNIPROT:Q15744|GENE:1053
UNIPROT:Q7RTZ2:T116:PRGE	Putative ubiquitin carboxyl-terminal hydrolase 17-like protein 1	UNIPROT:Q7RTZ2
UNIPROT:P48723:T116:PRGE	Heat shock 70 kDa protein 13|HSPA13	UNIPROT:P48723|GENE:6782
UNIPROT:Q9BXN6:T116:PRGE	Sperm protein associated with the nucleus on the X chromosome D|SPANXD	UNIPROT:Q9BXN6|GENE:64648
UNIPROT:Q06278:T116:PRGE	Aldehyde oxidase|AOX1	UNIPROT:Q06278|GENE:316
UNIPROT:O14647:T116:PRGE	CHD-2|CHD2	UNIPROT:O14647|GENE:1106
UNIPROT:Q8IVT2:T116:PRGE	Uncharacterized protein C19orf21|C19orf21	UNIPROT:Q8IVT2|GENE:126353
UNIPROT:O75145:T116:PRGE	Liprin-alpha-3|PPFIA3	UNIPROT:O75145|GENE:8541
UNIPROT:O60721:T116:PRGE	Sodium/potassium/calcium exchanger 1|SLC24A1	UNIPROT:O60721|GENE:9187
UNIPROT:Q05C16:T116:PRGE	Leucine-rich repeat-containing protein 63	UNIPROT:Q05C16
UNIPROT:P12318:T116:PRGE	IgG Fc receptor II-a|FCGR2A	UNIPROT:P12318|GENE:2212
UNIPROT:P00739:T116:PRGE	Haptoglobin-related protein|HPR	UNIPROT:P00739|GENE:3250
UNIPROT:P11086:T116:PRGE	Phenylethanolamine N-methyltransferase|PNMT	UNIPROT:P11086|GENE:5409
UNIPROT:Q8IV31:T116:PRGE	Transmembrane protein 139|TMEM139	UNIPROT:Q8IV31|GENE:135932
UNIPROT:O75631:T116:PRGE	UP3a|UPK3A	UNIPROT:O75631|GENE:7380
UNIPROT:Q8NHA4:T116:PRGE	Olfactory receptor 2AE1|OR2AE1	UNIPROT:Q8NHA4|GENE:81392
UNIPROT:Q6ZS81:T116:PRGE	WD repeat- and FYVE domain-containing protein 4|WDFY4	UNIPROT:Q6ZS81|GENE:57705
UNIPROT:Q9BX84:T116:PRGE	Transient receptor potential cation channel subfamily M member 6|TRPM6	UNIPROT:Q9BX84|GENE:140803
UNIPROT:P00167:T116:PRGE	Cytochrome b5|CYB5A	UNIPROT:P00167|GENE:1528
UNIPROT:O00501:T116:PRGE	Claudin-5|CLDN5	UNIPROT:O00501|GENE:7122
UNIPROT:O75386:T116:PRGE	Tubby-related protein 3|TULP3	UNIPROT:O75386|GENE:7289
UNIPROT:Q15063:T116:PRGE	Periostin|POSTN	UNIPROT:Q15063|GENE:10631
UNIPROT:P01591:T116:PRGE	Immunoglobulin J chain|IGJ	UNIPROT:P01591|GENE:3512
UNIPROT:Q86TJ2:T116:PRGE	Transcriptional adapter 2-beta|TADA2B	UNIPROT:Q86TJ2|GENE:93624
UNIPROT:Q7Z4Q2:T116:PRGE	HEAT repeat-containing protein 3|HEATR3	UNIPROT:Q7Z4Q2|GENE:55027
UNIPROT:Q9P2K5:T116:PRGE	Myelin expression factor 2|MYEF2	UNIPROT:Q9P2K5|GENE:50804
UNIPROT:Q96RT7:T116:PRGE	Gamma-tubulin complex component 6|TUBGCP6	UNIPROT:Q96RT7|GENE:85378
UNIPROT:Q8IYK8:T116:PRGE	GTP-binding protein REM 2|REM2	UNIPROT:Q8IYK8|GENE:161253
UNIPROT:O43294:T116:PRGE	Transforming growth factor beta-1-induced transcript 1 protein|TGFB1I1	UNIPROT:O43294|GENE:7041
UNIPROT:Q92748:T116:PRGE	Thyroid hormone-inducible hepatic protein|THRSP	UNIPROT:Q92748|GENE:7069
UNIPROT:O95427:T116:PRGE	GPI ethanolamine phosphate transferase 1|PIGN	UNIPROT:O95427|GENE:23556
UNIPROT:Q969I3:T116:PRGE	Glycine N-acyltransferase-like protein 1|GLYATL1	UNIPROT:Q969I3|GENE:92292
UNIPROT:P29218:T116:PRGE	IMP 1|IMPA1	UNIPROT:P29218|GENE:3612
UNIPROT:Q9NVV5:T116:PRGE	AIG-1|AIG1	UNIPROT:Q9NVV5|GENE:51390
UNIPROT:O94844:T116:PRGE	Rho-related BTB domain-containing protein 1|RHOBTB1	UNIPROT:O94844|GENE:9886
UNIPROT:Q9BYE4:T116:PRGE	SPR-2G|SPRR2G	UNIPROT:Q9BYE4|GENE:6706
UNIPROT:O60216:T116:PRGE	hHR21|RAD21	UNIPROT:O60216|GENE:5885
UNIPROT:Q9Y6P5:T116:PRGE	Sestrin-1|SESN1	UNIPROT:Q9Y6P5|GENE:27244
UNIPROT:Q5D862:T116:PRGE	Filaggrin-2|FLG2	UNIPROT:Q5D862|GENE:388698
UNIPROT:P02689:T116:PRGE	Myelin P2 protein|PMP2	UNIPROT:P02689|GENE:5375
UNIPROT:A9UHW6:T116:PRGE	MIF4G domain-containing protein|MIF4GD	UNIPROT:A9UHW6|GENE:57409
UNIPROT:Q8NFU7:T116:PRGE	Methylcytosine dioxygenase TET1|TET1	UNIPROT:Q8NFU7|GENE:80312
UNIPROT:Q86WC4:T116:PRGE	Osteopetrosis-associated transmembrane protein 1|OSTM1	UNIPROT:Q86WC4|GENE:28962
UNIPROT:O75841:T116:PRGE	Uroplakin-1b|UPK1B	UNIPROT:O75841|GENE:7348
UNIPROT:P32780:T116:PRGE	General transcription factor IIH subunit 1|GTF2H1	UNIPROT:P32780|GENE:2965
UNIPROT:Q9Y232:T116:PRGE	CDY-like|CDYL	UNIPROT:Q9Y232|GENE:9425
UNIPROT:Q9NP94:T116:PRGE	Zinc transporter ZIP2|SLC39A2	UNIPROT:Q9NP94|GENE:29986
UNIPROT:P26447:T116:PRGE	Protein S100-A4|S100A4	UNIPROT:P26447|GENE:6275
UNIPROT:O60231:T116:PRGE	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16|DHX16	UNIPROT:O60231|GENE:8449
UNIPROT:Q13131:T116:PRGE	5'-AMP-activated protein kinase catalytic subunit alpha-1|PRKAA1	UNIPROT:Q13131|GENE:5562
UNIPROT:Q6NT76:T116:PRGE	Homeobox-containing protein 1|HMBOX1	UNIPROT:Q6NT76|GENE:79618
UNIPROT:Q8N687:T116:PRGE	Beta-defensin 125|DEFB125	UNIPROT:Q8N687|GENE:245938
UNIPROT:P41252:T116:PRGE	Isoleucyl-tRNA synthetase, cytoplasmic|IARS	UNIPROT:P41252|GENE:3376
UNIPROT:Q92918:T116:PRGE	Mitogen-activated protein kinase kinase kinase kinase 1|MAP4K1	UNIPROT:Q92918|GENE:11184
UNIPROT:Q9BXB5:T116:PRGE	Oxysterol-binding protein-related protein 10|OSBPL10	UNIPROT:Q9BXB5|GENE:114884
UNIPROT:P05106:T116:PRGE	Integrin beta-3|ITGB3	UNIPROT:P05106|GENE:3690
UNIPROT:Q9BYK8:T116:PRGE	Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein|PRIC285	UNIPROT:Q9BYK8|GENE:85441
UNIPROT:Q96H86:T116:PRGE	Zinc finger protein 764|ZNF764	UNIPROT:Q96H86|GENE:92595
UNIPROT:Q9H7N3:T116:PRGE	Uncharacterized protein C14orf56	UNIPROT:Q9H7N3
UNIPROT:P48509:T116:PRGE	CD151 antigen|CD151	UNIPROT:P48509|GENE:977
UNIPROT:Q00577:T116:PRGE	Transcriptional activator protein Pur-alpha|PURA	UNIPROT:Q00577|GENE:5813
UNIPROT:Q8TE02:T116:PRGE	Dermal papilla-derived protein 6|C17orf81	UNIPROT:Q8TE02|GENE:23587
UNIPROT:Q9Y279:T116:PRGE	V-set and immunoglobulin domain-containing protein 4|VSIG4	UNIPROT:Q9Y279|GENE:11326
UNIPROT:Q08AD1:T116:PRGE	Calmodulin-regulated spectrin-associated protein 2|CAMSAP2	UNIPROT:Q08AD1|GENE:23271
UNIPROT:Q99643:T116:PRGE	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial|SDHC	UNIPROT:Q99643|GENE:6391
UNIPROT:Q8WUX2:T116:PRGE	Cation transport regulator-like protein 2|CHAC2	UNIPROT:Q8WUX2|GENE:494143
UNIPROT:P48431:T116:PRGE	Transcription factor SOX-2|SOX2	UNIPROT:P48431|GENE:6657
UNIPROT:Q03989:T116:PRGE	ARID domain-containing protein 5A|ARID5A	UNIPROT:Q03989|GENE:10865
UNIPROT:Q5TGS1:T116:PRGE	Transcription factor HES-3|HES3	UNIPROT:Q5TGS1|GENE:390992
UNIPROT:Q9Y399:T116:PRGE	MRP-S2|MRPS2	UNIPROT:Q9Y399|GENE:51116
UNIPROT:P09067:T116:PRGE	Homeobox protein Hox-B5|HOXB5	UNIPROT:P09067|GENE:3215
UNIPROT:O95177:T116:PRGE	Uncharacterized protein C16orf3|C16orf3	UNIPROT:O95177|GENE:750
UNIPROT:Q8N490:T116:PRGE	Probable hydrolase PNKD|PNKD	UNIPROT:Q8N490|GENE:25953
UNIPROT:Q9UBP4:T116:PRGE	Dkk-3|DKK3	UNIPROT:Q9UBP4|GENE:27122
UNIPROT:Q6NVV1:T116:PRGE	Putative 60S ribosomal protein L13a-like MGC87657	UNIPROT:Q6NVV1
UNIPROT:P55884:T116:PRGE	Eukaryotic translation initiation factor 3 subunit B|EIF3B	UNIPROT:P55884|GENE:8662
UNIPROT:P05783:T116:PRGE	Keratin, type I cytoskeletal 18|KRT18	UNIPROT:P05783|GENE:3875
UNIPROT:Q8NEJ0:T116:PRGE	Dual specificity protein phosphatase 18|DUSP18	UNIPROT:Q8NEJ0|GENE:150290
UNIPROT:Q13367:T116:PRGE	AP-3 complex subunit beta-2|AP3B2	UNIPROT:Q13367|GENE:8120
UNIPROT:O43464:T116:PRGE	Serine protease HTRA2, mitochondrial|HTRA2	UNIPROT:O43464|GENE:27429
UNIPROT:Q8N4T8:T116:PRGE	Carbonyl reductase family member 4|CBR4	UNIPROT:Q8N4T8|GENE:84869
UNIPROT:Q9BX10:T116:PRGE	GTP-binding protein 2|GTPBP2	UNIPROT:Q9BX10|GENE:54676
UNIPROT:Q6UXF1:T116:PRGE	Transmembrane protein 108|TMEM108	UNIPROT:Q6UXF1|GENE:66000
UNIPROT:Q9Y330:T116:PRGE	Zinc finger and BTB domain-containing protein 12|ZBTB12	UNIPROT:Q9Y330|GENE:221527
UNIPROT:O76050:T116:PRGE	h-neuralized 1|NEURL	UNIPROT:O76050|GENE:9148
UNIPROT:Q16204:T116:PRGE	Coiled-coil domain-containing protein 6|CCDC6	UNIPROT:Q16204|GENE:8030
UNIPROT:P46721:T116:PRGE	Solute carrier organic anion transporter family member 1A2|SLCO1A2	UNIPROT:P46721|GENE:6579
UNIPROT:P78356:T116:PRGE	Phosphatidylinositol-5-phosphate 4-kinase type-2 beta|PIP4K2B	UNIPROT:P78356|GENE:8396
UNIPROT:A9Z1Y9:T116:PRGE	Thymosin beta-4-like	UNIPROT:A9Z1Y9
UNIPROT:P54105:T116:PRGE	Methylosome subunit pICln|CLNS1A	UNIPROT:P54105|GENE:1207
UNIPROT:Q9GZS1:T116:PRGE	RNA polymerase I subunit A49|POLR1E	UNIPROT:Q9GZS1|GENE:64425
UNIPROT:P01709:T116:PRGE	Ig lambda chain V-II region MGC	UNIPROT:P01709
UNIPROT:Q86VD9:T116:PRGE	GPI mannosyltransferase 4|PIGZ	UNIPROT:Q86VD9|GENE:80235
UNIPROT:Q7L3T8:T116:PRGE	Probable prolyl-tRNA synthetase, mitochondrial|PARS2	UNIPROT:Q7L3T8|GENE:25973
UNIPROT:Q9UBQ0:T116:PRGE	hVPS29|VPS29	UNIPROT:Q9UBQ0|GENE:51699
UNIPROT:P78325:T116:PRGE	ADAM 8	UNIPROT:P78325
UNIPROT:Q8TB22:T116:PRGE	Spermatogenesis-associated protein 20|SPATA20	UNIPROT:Q8TB22|GENE:64847
UNIPROT:Q00978:T116:PRGE	Interferon regulatory factor 9|IRF9	UNIPROT:Q00978|GENE:10379
UNIPROT:P61254:T116:PRGE	60S ribosomal protein L26|RPL26	UNIPROT:P61254|GENE:6154
UNIPROT:Q15722:T116:PRGE	Leukotriene B4 receptor 1|LTB4R	UNIPROT:Q15722|GENE:1241
UNIPROT:P12035:T116:PRGE	Keratin, type II cytoskeletal 3|KRT3	UNIPROT:P12035|GENE:3850
UNIPROT:Q9HB89:T116:PRGE	NMU-R1|NMUR1	UNIPROT:Q9HB89|GENE:10316
UNIPROT:Q9BSJ1:T116:PRGE	SPRY domain-containing protein 5|SPRYD5	UNIPROT:Q9BSJ1|GENE:84767
UNIPROT:Q9HBY0:T116:PRGE	NADPH oxidase 3|NOX3	UNIPROT:Q9HBY0|GENE:50508
UNIPROT:A1L167:T116:PRGE	Ubiquitin-conjugating enzyme E2Q-like protein 1|UBE2QL1	UNIPROT:A1L167|GENE:134111
UNIPROT:A6NN79:T116:PRGE	Putative PERP-like protein	UNIPROT:A6NN79
UNIPROT:Q31612:T116:PRGE	HLA class I histocompatibility antigen, B-73 alpha chain	UNIPROT:Q31612
UNIPROT:A6NER3:T116:PRGE	GAGE-12J|GAGE12J	UNIPROT:A6NER3|GENE:729396
UNIPROT:P18089:T116:PRGE	Alpha-2B adrenergic receptor|ADRA2B	UNIPROT:P18089|GENE:151
UNIPROT:Q9NRH1:T116:PRGE	Uncharacterized protein C7orf36|YAE1D1	UNIPROT:Q9NRH1|GENE:57002
UNIPROT:P32970:T116:PRGE	CD70 antigen|CD70	UNIPROT:P32970|GENE:970
UNIPROT:P08637:T116:PRGE	Low affinity immunoglobulin gamma Fc region receptor III-A|FCGR3A	UNIPROT:P08637|GENE:2214
UNIPROT:A8MU93:T116:PRGE	Uncharacterized protein C17orf100	UNIPROT:A8MU93
UNIPROT:Q9H204:T116:PRGE	Mediator of RNA polymerase II transcription subunit 28|MED28	UNIPROT:Q9H204|GENE:80306
UNIPROT:Q8WWF1:T116:PRGE	Uncharacterized protein C1orf54|C1orf54	UNIPROT:Q8WWF1|GENE:79630
UNIPROT:P24539:T116:PRGE	ATP synthase subunit b, mitochondrial|ATP5F1	UNIPROT:P24539|GENE:515
UNIPROT:Q16352:T116:PRGE	Alpha-internexin|INA	UNIPROT:Q16352|GENE:9118
UNIPROT:Q8IZF3:T116:PRGE	Probable G-protein coupled receptor 115|GPR115	UNIPROT:Q8IZF3|GENE:221393
UNIPROT:P78371:T116:PRGE	T-complex protein 1 subunit beta|CCT2	UNIPROT:P78371|GENE:10576
UNIPROT:Q96KB5:T116:PRGE	Lymphokine-activated killer T-cell-originated protein kinase|PBK	UNIPROT:Q96KB5|GENE:55872
UNIPROT:P54803:T116:PRGE	Galactocerebrosidase|GALC	UNIPROT:P54803|GENE:2581
UNIPROT:Q6ZV50:T116:PRGE	Uncharacterized protein FLJ42986|RFX8	UNIPROT:Q6ZV50|GENE:731220
UNIPROT:O43300:T116:PRGE	Leucine-rich repeat transmembrane neuronal protein 2|LRRTM2	UNIPROT:O43300|GENE:26045
UNIPROT:Q9UI26:T116:PRGE	Importin-11|IPO11	UNIPROT:Q9UI26|GENE:51194
UNIPROT:Q12767:T116:PRGE	Uncharacterized protein KIAA0195|KIAA0195	UNIPROT:Q12767|GENE:9772
UNIPROT:P17025:T116:PRGE	Zinc finger protein 182|ZNF182	UNIPROT:P17025|GENE:7569
UNIPROT:Q7Z5L2:T116:PRGE	Growth inhibition and differentiation-related protein 88	UNIPROT:Q7Z5L2
UNIPROT:Q8NA75:T116:PRGE	DDB1- and CUL4-associated factor 4-like protein 2|DCAF4L2	UNIPROT:Q8NA75|GENE:138009
UNIPROT:Q6S5L8:T116:PRGE	SHC-transforming protein 4|SHC4	UNIPROT:Q6S5L8|GENE:399694
UNIPROT:Q9NX20:T116:PRGE	39S ribosomal protein L16, mitochondrial|MRPL16	UNIPROT:Q9NX20|GENE:54948
UNIPROT:P30443:T116:PRGE	HLA class I histocompatibility antigen, A-1 alpha chain|HLA-A	UNIPROT:P30443|GENE:3105
UNIPROT:O15382:T116:PRGE	Branched-chain-amino-acid aminotransferase, mitochondrial|BCAT2	UNIPROT:O15382|GENE:587
UNIPROT:O75192:T116:PRGE	Peroxisomal membrane protein 11A|PEX11A	UNIPROT:O75192|GENE:8800
UNIPROT:Q8IYX4:T116:PRGE	Dead end protein homolog 1|DND1	UNIPROT:Q8IYX4|GENE:373863
UNIPROT:Q9NVA2:T116:PRGE	Septin-11|SEPT11	UNIPROT:Q9NVA2|GENE:55752
UNIPROT:Q6AHZ1:T116:PRGE	Zinc finger protein 518A|ZNF518A	UNIPROT:Q6AHZ1|GENE:9849
UNIPROT:Q9UBX5:T116:PRGE	Fibulin-5|FBLN5	UNIPROT:Q9UBX5|GENE:10516
UNIPROT:P22004:T116:PRGE	Bone morphogenetic protein 6|BMP6	UNIPROT:P22004|GENE:654
UNIPROT:Q9BQ08:T116:PRGE	Resistin-like beta|RETNLB	UNIPROT:Q9BQ08|GENE:84666
UNIPROT:Q9H2D1:T116:PRGE	Mitochondrial folate transporter/carrier|SLC25A32	UNIPROT:Q9H2D1|GENE:81034
UNIPROT:A2RU49:T116:PRGE	Aminoglycoside phosphotransferase domain-containing protein 1|AGPHD1	UNIPROT:A2RU49|GENE:123688
UNIPROT:Q8IZY2:T116:PRGE	ATP-binding cassette sub-family A member 7|ABCA7	UNIPROT:Q8IZY2|GENE:10347
UNIPROT:Q8NA61:T116:PRGE	Spermatid-associated protein|SPERT	UNIPROT:Q8NA61|GENE:220082
UNIPROT:Q9UHN1:T116:PRGE	DNA polymerase subunit gamma-2, mitochondrial|POLG2	UNIPROT:Q9UHN1|GENE:11232
